"",Set,Count
9073,"(2, 47)",69
1539,"(46, 5)",69
4273,"(32, 42)",69
71,"(49, 7)",69
4817,"(20, 37)",69
68,"(36, 7)",69
15147,"(25, 8)",69
4501,"(43, 49)",69
12450,"(33, 42)",69
1074,"(37, 4)",69
8375,"(3, 49)",69
7205,"(28, 44)",69
3319,"(46, 49)",68
3176,"(26, 29)",68
1119,"(15, 30)",68
10998,"(26, 34)",68
5387,"(12, 40)",68
6036,"(39, 42)",68
4499,"(36, 43)",68
794,"(16, 40)",68
3085,"(23, 36)",68
2842,"(34, 39)",68
1583,"(10, 12)",68
5386,"(12, 26)",68
3272,"(26, 39)",68
412,"(36, 40)",68
3412,"(37, 39)",68
1736,"(2, 32)",68
1226,"(22, 33)",68
1484,"(3, 48)",68
7743,"(40, 43)",68
4675,"(12, 44)",68
2049,"(34, 42)",68
177,"(26, 44)",68
2093,"(13, 47)",68
3874,"(29, 47)",68
1061,"(19, 21)",68
1018,"(44, 6)",68
3829,"(29, 39)",68
7246,"(10, 14)",68
7980,"(21, 46)",68
1481,"(11, 48)",68
9074,"(2, 7)",68
1010,"(1, 6)",68
684,"(30, 48)",68
13143,"(2, 24)",68
5645,"(23, 37)",68
4770,"(24, 48)",67
2248,"(10, 49)",67
11119,"(20, 28)",67
2599,"(3, 41)",67
3505,"(4, 43)",67
1643,"(24, 32)",67
3178,"(26, 9)",67
4983,"(20, 47)",67
117,"(11, 42)",67
3780,"(2, 44)",67
1938,"(1, 39)",67
2445,"(12, 45)",67
5731,"(16, 20)",67
677,"(12, 35)",67
2546,"(11, 28)",67
2200,"(26, 47)",67
128,"(42, 47)",67
1336,"(26, 33)",67
2745,"(16, 45)",67
5293,"(12, 25)",67
20434,"(3, 36)",67
2095,"(22, 47)",67
10880,"(22, 28)",67
2201,"(31, 43)",67
6785,"(26, 48)",67
1780,"(11, 18)",67
2352,"(26, 49)",67
2699,"(33, 9)",67
126,"(35, 42)",67
7206,"(44, 7)",67
9902,"(11, 30)",67
2395,"(11, 22)",67
6081,"(11, 21)",67
5296,"(25, 46)",66
569,"(22, 27)",66
2794,"(31, 44)",66
3316,"(30, 49)",66
6037,"(39, 44)",66
3601,"(33, 7)",66
10699,"(39, 47)",66
4321,"(25, 42)",66
3966,"(27, 43)",66
67,"(36, 49)",66
8911,"(16, 44)",66
4726,"(43, 9)",66
2648,"(32, 45)",66
9316,"(23, 47)",66
6165,"(37, 49)",66
